Date,Open,High,Low,Close,Adj Close,Volume
2024-11-20,3966.1201171875,4001.080078125,3958.340087890625,3985.77001953125,3985.77001953125,184600
2024-11-21,3979.4599609375,3999.570068359375,3966.070068359375,3989.300048828125,3989.300048828125,166100
2024-11-22,3984.239990234375,3990.260009765625,3865.699951171875,3865.699951171875,3865.699951171875,216300
2024-11-25,3875.610107421875,3889.7099609375,3812.320068359375,3848.090087890625,3848.090087890625,190700
2024-11-26,3836.260009765625,3875.22998046875,3833.280029296875,3840.179931640625,3840.179931640625,149900
2024-11-27,3829.340087890625,3907.159912109375,3817.909912109375,3907.0400390625,3907.0400390625,174100
2024-11-28,3904.25,3908.389892578125,3866.010009765625,3872.550048828125,3872.550048828125,150100
2024-11-29,3869.889892578125,3962.699951171875,3869.889892578125,3916.580078125,3916.580078125,187700
2024-12-02,3909.699951171875,3955.1298828125,3902.169921875,3947.6298828125,3947.6298828125,197300
2024-12-03,3946.699951171875,3963.949951171875,3922.840087890625,3951.889892578125,3951.889892578125,182500
2024-12-04,3948.1298828125,3957.3701171875,3917.75,3930.56005859375,3930.56005859375,174600
2024-12-05,3916.56005859375,3936.340087890625,3910.080078125,3921.590087890625,3921.590087890625,138500
2024-12-06,3923.89990234375,3995.1201171875,3923.89990234375,3973.139892578125,3973.139892578125,192100
2024-12-09,3970.659912109375,3995.510009765625,3948.419921875,3966.570068359375,3966.570068359375,176000
2024-12-10,4094.050048828125,4098.3798828125,3988.969970703125,3995.639892578125,3995.639892578125,253500
2024-12-11,3988.02001953125,4005.330078125,3977.35009765625,3988.830078125,3988.830078125,177300
2024-12-12,3987.14990234375,4031.739990234375,3981.35009765625,4028.5,4028.5,181600
2024-12-13,4000.989990234375,4000.989990234375,3931.739990234375,3933.179931640625,3933.179931640625,230400
2024-12-16,3930.780029296875,3938.760009765625,3901.64990234375,3911.840087890625,3911.840087890625,178500
2024-12-17,3908.1298828125,3955.949951171875,3908.1298828125,3922.030029296875,3922.030029296875,160900
2024-12-18,3934.5400390625,3956.139892578125,3933.969970703125,3941.889892578125,3941.889892578125,157700
2024-12-19,3911.889892578125,3954.35009765625,3899.75,3945.4599609375,3945.4599609375,161100
2024-12-20,3937.469970703125,3958.6298828125,3923.260009765625,3927.739990234375,3927.739990234375,155000
2024-12-23,3928.14990234375,3965.85009765625,3928.14990234375,3933.570068359375,3933.570068359375,190100
2024-12-24,3934.93994140625,3985.860107421875,3934.72998046875,3983.68994140625,3983.68994140625,161500
2024-12-25,3987.9599609375,4007.760009765625,3969.47998046875,3985.6298828125,3985.6298828125,159400
2024-12-26,3981.72998046875,3991.530029296875,3965.550048828125,3987.47998046875,3987.47998046875,143400
2024-12-27,3987.02001953125,4007.1298828125,3970.93994140625,3981.030029296875,3981.030029296875,169300
2024-12-30,3976.699951171875,4005.780029296875,3976.699951171875,3999.050048828125,3999.050048828125,164600
2024-12-31,3995.8701171875,4004.35009765625,3934.909912109375,3934.909912109375,3934.909912109375,183900
2025-01-02,3931.820068359375,3934.199951171875,3796.340087890625,3820.39990234375,3820.39990234375,217900
2025-01-03,3825.239990234375,3835.93994140625,3767.669921875,3775.159912109375,3775.159912109375,175300
2025-01-06,3775.989990234375,3788.85009765625,3743.070068359375,3768.969970703125,3768.969970703125,150900
2025-01-07,3760.8701171875,3797.60009765625,3749.06005859375,3796.110107421875,3796.110107421875,146500
2025-01-08,3781.260009765625,3810.739990234375,3731.18994140625,3789.219970703125,3789.219970703125,169200
2025-01-09,3780.72998046875,3795.260009765625,3768.679931640625,3779.8798828125,3779.8798828125,129800
2025-01-10,3778.889892578125,3786.81005859375,3732.47998046875,3732.47998046875,3732.47998046875,137500
2025-01-13,3704.43994140625,3737.889892578125,3704.110107421875,3722.510009765625,3722.510009765625,136400
2025-01-14,3728.56005859375,3826.639892578125,3718.8798828125,3820.5400390625,3820.5400390625,170700
2025-01-15,3810.0400390625,3816.830078125,3790.169921875,3796.030029296875,3796.030029296875,141500
2025-01-16,3812.18994140625,3842.949951171875,3776.2900390625,3800.3798828125,3800.3798828125,144500
2025-01-17,3788.3701171875,3831.639892578125,3780.2099609375,3812.340087890625,3812.340087890625,126600
2025-01-20,3835.300048828125,3858.669921875,3821.97998046875,3829.679931640625,3829.679931640625,139600
2025-01-21,3850.360107421875,3850.909912109375,3817.1201171875,3832.610107421875,3832.610107421875,141200
2025-01-22,3823.93994140625,3823.93994140625,3783.139892578125,3797.02001953125,3797.02001953125,137300
2025-01-23,3829.050048828125,3864.260009765625,3801.85009765625,3803.739990234375,3803.739990234375,180600
2025-01-24,3793.85009765625,3847.60009765625,3793.47998046875,3832.860107421875,3832.860107421875,149000
2025-01-27,3836.9599609375,3852.0,3817.080078125,3817.080078125,3817.080078125,146700
2025-02-05,3844.699951171875,3844.699951171875,3785.159912109375,3795.080078125,3795.080078125,157200
2025-02-06,3789.610107421875,3843.489990234375,3788.320068359375,3842.830078125,3842.830078125,167300
2025-02-07,3844.06005859375,3919.35009765625,3833.8701171875,3892.699951171875,3892.699951171875,221900
2025-02-10,3898.10009765625,3906.3701171875,3878.830078125,3901.06005859375,3901.06005859375,188900
2025-02-11,3905.159912109375,3905.159912109375,3872.909912109375,3883.139892578125,3883.139892578125,166600
2025-02-12,3875.9599609375,3920.719970703125,3867.35009765625,3919.860107421875,3919.860107421875,164200
2025-02-13,3913.89990234375,3939.199951171875,3904.97998046875,3905.139892578125,3905.139892578125,172500
2025-02-14,3900.830078125,3942.0400390625,3900.830078125,3939.010009765625,3939.010009765625,173000
2025-02-17,3954.409912109375,3955.89990234375,3921.699951171875,3947.39990234375,3947.39990234375,213600
2025-02-18,3942.580078125,3965.419921875,3901.8701171875,3912.780029296875,3912.780029296875,209400
2025-02-19,3906.219970703125,3943.669921875,3904.14990234375,3940.159912109375,3940.159912109375,182800
2025-02-20,3934.64990234375,3940.679931640625,3916.179931640625,3928.89990234375,3928.89990234375,163900
2025-02-21,3938.050048828125,3981.050048828125,3927.7900390625,3978.43994140625,3978.43994140625,227400
2025-02-24,3972.47998046875,3995.949951171875,3949.22998046875,3969.719970703125,3969.719970703125,220800
2025-02-25,3933.639892578125,3955.429931640625,3915.64990234375,3925.64990234375,3925.64990234375,178100
2025-02-26,3931.840087890625,3960.330078125,3925.3701171875,3959.93994140625,3959.93994140625,191100
2025-02-27,3961.06005859375,3973.929931640625,3933.4599609375,3968.1201171875,3968.1201171875,202900
2025-02-28,3950.18994140625,3972.47998046875,3886.39990234375,3890.050048828125,3890.050048828125,198100
2025-03-03,3899.699951171875,3930.0,3872.590087890625,3888.469970703125,3888.469970703125,177600
2025-03-04,3865.989990234375,3890.419921875,3855.72998046875,3885.219970703125,3885.219970703125,149900
2025-03-05,3887.800048828125,3906.419921875,3877.02001953125,3902.570068359375,3902.570068359375,158700
2025-03-06,3923.3798828125,3964.489990234375,3917.080078125,3956.239990234375,3956.239990234375,194000
2025-03-07,3944.909912109375,3967.070068359375,3935.050048828125,3944.010009765625,3944.010009765625,166700
2025-03-10,3945.580078125,3949.139892578125,3905.1298828125,3928.800048828125,3928.800048828125,152800
2025-03-11,3890.429931640625,3941.419921875,3889.429931640625,3941.419921875,3941.419921875,144800
